fixedacidity volatileacidity citricacid residualsugar chlorides freesulfurdioxide totalsulfurdioxide density pH sulphates alcohol y
7.2 0.25 0.28 14.4 0.055 55 205 0.9986 3.12 0.38 9 3
6.8 0.27 0.28 7.8 0.038 26 89 0.9915 3.24 0.34 12.5 2
6.9 0.4 0.17 12.9 0.033 59 186 0.99754 3.08 0.49 9.4 1
8.3 0.14 0.26 1.5 0.049 56 189 0.9946 3.21 0.62 9.5 2
7.1 0.36 0.28 2.4 0.036 35 115 0.98936 3.19 0.44 13.5 3
6 0.25 0.4 5.7 0.052 56 152 0.99398 3.16 0.88 10.5 2
6.5 0.23 0.38 1.3 0.032 29 112 0.99298 3.29 0.54 9.7 1
6.7 0.14 0.46 1.6 0.036 15 92 0.99264 3.37 0.49 10.9 1
5.3 0.23 0.56 0.9 0.041 46 141 0.99119 3.16 0.62 9.7 1
6.9 0.29 0.41 7.8 0.046 52 171 0.99537 3.12 0.51 9.6 1
5.7 0.27 0.16 9 0.053 32 111 0.99474 3.36 0.37 10.4 2
6.4 0.125 0.36 1.4 0.044 22 68 0.99014 3.15 0.5 11.7 3
5.9 0.4 0.32 6 0.034 50 127 0.992 3.51 0.58 12.5 3
6.2 0.28 0.27 10.3 0.03 26 108 0.99388 3.2 0.36 10.7 2
9.2 0.28 0.46 3.2 0.058 39 133 0.996 3.14 0.58 9.5 1
7.1 0.18 0.39 15.25 0.047 45 158 0.99946 3.34 0.77 9.1 2
6.4 0.26 0.21 8.2 0.05 51 182 0.99542 3.23 0.48 9.5 1
7.8 0.26 0.49 3.2 0.027 28 87 0.9919 3.03 0.32 11.3 3
6.3 0.27 0.38 0.9 0.051 7 140 0.9926 3.45 0.5 10.5 3
7.5 0.26 0.26 18.35 0.084 33 139 1.0011 3.17 0.39 8.8 1
6.3 0.28 0.3 6.6 0.208 60 154 0.99478 3.1 0.4 9.4 2
6.5 0.18 0.41 14.2 0.039 47 129 0.99678 3.28 0.72 10.3 3
7.4 0.21 0.3 7.9 0.039 14 118 0.9942 2.96 0.34 10.4 1
7.5 0.21 0.68 10.9 0.045 38 133 0.9978 3 0.36 8.7 1
7.6 0.31 0.49 13.4 0.062 50 191 0.9989 3.22 0.53 9 1
6.2 0.3 0.26 13.4 0.046 57 206 0.99775 3.17 0.43 9.5 2
7.8 0.2 0.28 10.2 0.054 78 186 0.997 3.14 0.46 10 2
7.2 0.28 0.26 12.5 0.046 48 179 0.9975 3.1 0.52 9 2
5.9 0.37 0.14 6.3 0.036 34 185 0.9944 3.17 0.63 9.8 1
9 0.17 0.49 1 0.039 46 131 0.993 3.09 0.51 10.5 3
5.5 0.375 0.38 1.7 0.036 17 98 0.99142 3.29 0.39 10.5 2
6.7 0.24 0.32 9 0.023 20 109 0.99262 3.34 0.35 12.6 2
6.9 0.26 0.49 1.6 0.058 39 166 0.9965 3.65 0.52 9.4 1
6.3 0.29 0.28 4.7 0.059 28 81 0.99036 3.24 0.56 12.7 3
6.6 0.23 0.3 14.9 0.051 33 118 0.99835 3.04 0.54 9 2
6.3 0.1 0.24 6 0.039 25 107 0.99511 3.59 0.49 10.5 3
7.3 0.26 0.33 11.8 0.057 48 127 0.99693 3.1 0.55 10 2
7.3 0.2 0.44 1.4 0.045 21 98 0.9924 3.15 0.46 10 3
6.7 0.31 0.18 7.7 0.043 57 200 0.99566 3.17 0.44 9.4 2
7.6 0.48 0.37 0.8 0.037 4 100 0.9902 3.03 0.39 11.4 1
5.6 0.245 0.25 9.7 0.032 12 68 0.994 3.31 0.34 10.5 1
8.2 0.23 0.29 1.8 0.047 47 187 0.9933 3.13 0.5 10.2 2
6.6 0.18 0.26 17.3 0.051 17 149 0.9984 3 0.43 9.4 2
6.3 0.21 0.28 1.5 0.051 46 142 0.9928 3.23 0.42 10.1 2
9.8 0.16 0.46 1.8 0.046 23 130 0.99587 3.04 0.67 9.6 1
7 0.12 0.19 4.9 0.055 27 127 0.9953 3.29 0.41 9.4 1
7.4 0.18 0.4 1.6 0.047 22 102 0.9937 3.28 0.44 10.7 1
6.9 0.33 0.26 5 0.027 46 143 0.9924 3.25 0.43 11.2 3
6.6 0.24 0.27 1.4 0.057 33 152 0.9934 3.22 0.56 9.5 2
7.2 0.15 0.39 1.8 0.043 21 159 0.9948 3.52 0.47 10 1
6.8 0.28 0.4 22 0.048 48 167 1.001 2.93 0.5 8.7 1
5.8 0.13 0.26 5.1 0.039 19 103 0.99478 3.36 0.47 9.3 2
6.9 0.18 0.38 8.1 0.049 44 176 0.9958 3.3 0.54 9.8 2
6.6 0.32 0.33 2.5 0.052 40 219.5 0.99316 3.15 0.6 10 1
6.6 0.17 0.26 7.4 0.052 45 128 0.99388 3.16 0.37 10 2
8.1 0.27 0.33 1.3 0.045 26 100 0.99066 2.98 0.44 12.4 2
7.2 0.37 0.4 11.6 0.032 34 214 0.9963 3.1 0.51 9.8 2
6.3 0.23 0.49 7.1 0.05 67 210 0.9951 3.23 0.34 9.5 1
6.5 0.15 0.55 5.9 0.045 75 162 0.99482 2.97 0.4 9.3 1
5.7 0.26 0.27 4.1 0.201 73.5 189.5 0.9942 3.27 0.38 9.4 2
7.1 0.2 0.31 7.4 0.053 32 211 0.99587 3.31 0.59 10.4 2
5.9 0.2 0.23 1.5 0.037 38 93 0.99021 3.36 0.49 12 2
8.1 0.4 0.32 7.9 0.031 23 118 0.99176 3.05 0.46 13.3 3
6 0.31 0.27 2.3 0.042 19 120 0.98952 3.32 0.41 12.7 3
6.5 0.22 0.45 8 0.053 52 196 0.9959 3.23 0.48 9.1 2
7.4 0.27 0.31 2.4 0.014 15 143 0.99094 3.03 0.65 12 1
7.3 0.19 0.27 13.9 0.057 45 155 0.99807 2.94 0.41 8.8 3
7.2 0.2 0.34 2.7 0.032 49 151 0.99 3.16 0.39 12.7 3
5.5 0.24 0.45 1.7 0.046 22 113 0.99224 3.22 0.48 10 1
6 0.24 0.32 6.3 0.03 34 129 0.9946 3.52 0.41 10.4 1
6.6 0.19 0.33 1.8 0.035 42 148 0.99196 3.15 0.36 10.2 1
6.5 0.29 0.25 2.5 0.142 8 111 0.9927 3 0.44 9.9 1
8.3 0.26 0.31 2 0.029 14 141 0.99077 2.95 0.77 12.2 2
9.6 0.21 0.28 1.2 0.038 12 53 0.9926 2.8 0.46 10.6 1
6.3 0.27 0.25 5.8 0.038 52 155 0.995 3.28 0.38 9.4 2
8 0.2 0.44 1 0.057 24 111 0.99158 3.09 0.32 11.2 2
6.9 0.32 0.15 8.1 0.046 51 180 0.9958 3.13 0.45 8.9 1
7 0.15 0.28 14.7 0.051 29 149 0.99792 2.96 0.39 9 3
6.6 0.64 0.28 4.4 0.032 19 78 0.99036 3.11 0.62 12.9 2
5.6 0.245 0.32 1.1 0.047 24 152 0.9927 3.12 0.42 9.3 2
6.9 0.19 0.6 4 0.037 6 122 0.99255 2.92 0.59 10.4 1
7 0.16 0.25 14.3 0.044 27 149 0.998 2.91 0.46 9.2 2
7.7 0.22 0.42 1.9 0.052 10 87 0.9922 3.3 0.49 11.8 2
6.6 0.37 0.47 6.5 0.061 23 150 0.9954 3.14 0.45 9.6 2
7.5 0.19 0.49 1.6 0.047 42 140 0.9932 3.4 0.47 10.7 2
7.3 0.19 0.25 1.4 0.051 41 107 0.99382 3.53 0.66 10.5 3
6.4 0.31 0.39 7.5 0.04 57 213 0.99475 3.32 0.43 10 1
7.2 0.23 0.39 14.2 0.058 49 192 0.9979 2.98 0.48 9 3
7.1 0.25 0.28 1.6 0.052 46 169 0.9926 3.05 0.41 10.5 1
7.8 0.16 0.41 1.7 0.026 29 140 0.991 3.02 0.78 12.5 2
7.7 0.28 0.63 11.1 0.039 58 179 0.9979 3.08 0.44 8.8 1
7.1 0.21 0.32 2.2 0.037 28 141 0.993 3.2 0.57 10 3
7.6 0.39 0.32 3.6 0.035 22 93 0.99144 3.08 0.6 12.5 3
7.1 0.26 0.49 2.2 0.032 31 113 0.9903 3.37 0.42 12.9 3
10.7 0.22 0.56 8.2 0.044 37 181 0.998 2.87 0.68 9.5 2
7.2 0.4 0.49 1.1 0.048 11 138 0.9929 3.01 0.42 9.3 1
7.2 0.19 0.39 1.2 0.036 32 85 0.9918 3.16 0.5 10.5 1
6 0.41 0.05 1.5 0.063 17 120 0.9932 3.21 0.56 9.2 2
5.8 0.32 0.28 4.3 0.032 46 115 0.98946 3.16 0.57 13 3
6.8 0.26 0.34 15.1 0.06 42 162 0.99705 3.24 0.52 10.5 1
5 0.24 0.19 5 0.043 17 101 0.99438 3.67 0.57 10 1
6.3 0.4 0.32 10.6 0.049 38 209 0.9981 3.47 0.59 9.3 2
6.4 0.28 0.22 12.8 0.039 51 150 0.99535 3.23 0.43 10.7 2
5.6 0.46 0.24 4.8 0.042 24 72 0.9908 3.29 0.37 12.6 2
9.4 0.23 0.56 16.45 0.063 52.5 282 1.00098 3.1 0.51 9.3 1
6.1 0.15 0.4 1.2 0.03 19 84 0.98926 3.19 0.96 13 2
7.8 0.25 0.34 13.7 0.044 66 184 0.99976 3.22 0.75 8.9 1
5.8 0.3 0.42 1.1 0.036 19 113 0.98871 3.1 0.46 12.6 3
7.7 0.25 0.43 4.5 0.062 20 115 0.9966 3.38 0.5 9.9 2
6.8 0.21 0.42 1.2 0.045 24 126 0.99234 3.09 0.87 10.9 2
6.3 0.26 0.42 7.1 0.045 62 209 0.99544 3.2 0.53 9.5 2
7 0.22 0.26 9.2 0.027 37 122 0.99228 3.06 0.34 12.5 3
7.7 0.29 0.48 2.3 0.049 36 178 0.9931 3.17 0.64 10.6 2
6.5 0.36 0.32 1.1 0.031 13 66 0.9916 3.1 0.46 10.6 1
6.7 0.34 0.3 8.5 0.059 24 152 0.99615 3.46 0.64 11 3
7.2 0.32 0.4 8.7 0.038 45 154 0.99568 3.2 0.47 10.4 2
5 0.33 0.16 1.5 0.049 10 97 0.9917 3.48 0.44 10.7 2
7.2 0.19 0.46 3.8 0.041 82 187 0.9932 3.19 0.6 11.2 3
7.2 0.21 0.33 3 0.036 35 132 0.9928 3.25 0.4 11 2
6.8 0.31 0.3 8 0.028 33 122 0.99164 3.13 0.63 12.6 3
7.2 0.36 0.36 5.7 0.038 26 98 0.9914 2.93 0.59 12.5 3
7.8 0.21 0.34 11.9 0.039 55 140 0.9959 3.02 0.31 10.3 2
6.9 0.22 0.49 7 0.063 50 168 0.9957 3.54 0.5 10.3 2
5.9 0.34 0.25 2 0.042 12 110 0.99034 3.02 0.54 11.4 2
7.7 0.39 0.49 7.7 0.036 11 110 0.9966 3.33 0.76 10 2
6.5 0.37 0.33 3.5 0.036 23 92 0.99136 3.18 0.38 11.2 2
6.3 0.695 0.55 12.9 0.056 58 252 0.99806 3.29 0.49 8.7 1
7 0.22 0.29 8.9 0.05 24 90 0.99556 3.29 0.46 9.8 2
5.3 0.165 0.24 1.1 0.051 25 105 0.9925 3.32 0.47 9.1 1
6.4 0.27 0.29 10.8 0.028 17 118 0.99356 3.18 0.37 11.2 2
7.8 0.13 0.3 1.8 0.04 43 179 0.9955 3.43 0.41 9 1
7.1 0.28 0.35 3.5 0.028 35 91 0.99022 2.96 0.33 12.1 1
7.3 0.17 0.23 6.3 0.051 35 240 0.9963 3.36 0.54 10 2
6 0.32 0.12 5.9 0.041 34 190 0.9944 3.16 0.72 10 1
7.8 0.22 0.38 10.3 0.059 28 99 0.9967 3.12 0.47 10 2
7.6 0.38 0.2 3.4 0.046 9 116 0.9944 3.15 0.41 9.4 1
7.7 0.28 0.29 4.3 0.051 25 142 0.9939 3.16 0.39 10.2 1
6.6 0.545 0.04 2.5 0.031 48 111 0.9906 3.14 0.32 11.9 1
7 0.2 0.49 5.9 0.038 39 128 0.9938 3.21 0.48 10.8 2
7 0.35 0.31 1.8 0.069 15 162 0.9944 3.18 0.47 9.4 1
7.6 0.13 0.34 9.3 0.062 40 126 0.9966 3.21 0.39 9.6 1
6.6 0.41 0.16 1.4 0.037 28 160 0.99167 2.95 0.45 10.6 2
6.4 0.23 0.33 1.15 0.044 15.5 217.5 0.992 3.33 0.44 11 2
5.2 0.44 0.04 1.4 0.036 43 119 0.9894 3.36 0.33 12.1 3
8.3 0.33 0.42 1.15 0.033 18 96 0.9911 3.2 0.32 12.4 1
8.2 0.17 0.32 1.5 0.05 17 101 0.994 3.14 0.58 9.5 1
8.4 0.17 0.31 5.4 0.052 47 150 0.9953 3.24 0.38 9.8 1
8.2 0.24 0.49 9.3 0.038 52 163 0.9952 3.02 0.33 10.6 2
7.3 0.25 0.28 1.5 0.043 19 113 0.99338 3.38 0.56 10.1 2
6.5 0.24 0.39 17.3 0.052 22 126 0.99888 3.11 0.47 9.2 2
8.1 0.5 0.47 1.1 0.037 23 126 0.9938 3.21 0.42 10.9 1
7 0.48 0.12 4.5 0.05 23 86 0.99398 2.86 0.35 9 1
5.9 0.12 0.27 4.8 0.03 40 110 0.99226 3.55 0.68 12.1 2
6.9 0.28 0.41 1.4 0.016 6 55 0.98876 3.16 0.4 13.4 1
6.7 0.54 0.27 7.1 0.049 8 178 0.99502 3.16 0.38 9.4 1
6.6 0.26 0.52 8.2 0.047 52 191 0.99541 3.16 0.47 9.5 2
5.2 0.17 0.27 0.7 0.03 11 68 0.99218 3.3 0.41 9.8 1
6 0.17 0.33 6 0.036 30 111 0.99362 3.32 0.58 10.13333333 3
6.7 0.36 0.28 8.3 0.034 29 81 0.99151 2.96 0.39 12.5 2
6.6 0.2 0.27 10.9 0.038 29 130 0.99496 3.11 0.44 10.5 3
6.1 0.41 0 1.6 0.063 36 87 0.9914 3.27 0.67 10.8 2
6.4 0.25 0.74 7.8 0.045 52 209 0.9956 3.21 0.42 9.2 2
8 0.25 0.13 17.2 0.036 49 219 0.9996 2.96 0.46 9.7 1
7.4 0.2 0.35 2.1 0.038 30 116 0.9949 3.49 0.77 10.3 3
7 0.36 0.32 10.05 0.045 37 131 0.99352 3.09 0.33 11.7 3
7.1 0.36 0.2 1.6 0.271 24 140 0.99356 3.11 0.63 9.8 1
8 0.28 0.3 8.4 0.03 35 115 0.99192 2.93 0.42 12.3 2
6.6 0.24 0.35 7.7 0.031 36 135 0.9938 3.19 0.37 10.5 1
6.8 0.18 0.28 9.8 0.039 29 113 0.99406 3.11 0.45 10.9 3
6.3 0.34 0.29 6.2 0.046 29 227 0.9952 3.29 0.53 10.1 2
7.9 0.41 0.37 4.5 0.03 40 114 0.992 3.17 0.54 12.4 3
6 0.23 0.34 1.3 0.025 23 111 0.98961 3.36 0.37 12.7 2
5.7 0.25 0.27 10.8 0.05 58 116 0.99592 3.1 0.5 9.8 2
7.5 0.27 0.79 11.95 0.04 51 159 0.99839 2.98 0.44 8.7 1
7.4 0.36 0.23 1.9 0.017 31 69 0.9892 2.93 0.36 12.5 2
7.2 0.23 0.19 13.7 0.052 47 197 0.99865 3.12 0.53 9 1
7.7 0.4 0.27 4.5 0.034 27 95 0.99175 3.21 0.59 12.3 3
7.8 0.42 0.26 9.2 0.058 34 199 0.9972 3.14 0.55 9.3 2
5.8 0.4 0.42 4.4 0.047 38.5 245 0.9937 3.25 0.57 9.6 2
8.1 0.2 0.3 1.3 0.036 7 49 0.99242 2.99 0.73 10.3 1
7.1 0.21 0.27 8.6 0.056 26 111 0.9956 2.95 0.52 9.5 1
6.7 0.34 0.26 1.9 0.038 58 138 0.9893 3 0.47 12.2 3
6.9 0.25 0.27 9.05 0.039 37 128 0.9936 3.27 0.34 11.3 3
8.4 0.57 0.44 10.7 0.051 46 195 0.9981 3.15 0.51 10.4 1
7.2 0.21 0.41 1.3 0.036 33 85 0.992 3.17 0.51 10.4 1
8 0.33 0.32 4.6 0.041 31 180 0.99184 2.92 0.74 12.2 2
6.3 0.2 0.19 12.3 0.048 54 145 0.99668 3.16 0.42 9.3 2
6.5 0.29 0.52 7.9 0.049 35 192 0.99551 3.16 0.51 9.5 2
6.6 0.39 0.28 9.2 0.036 10 92 0.99206 3.07 0.35 12.1 2
7.2 0.14 0.35 1.2 0.036 15 73 0.9938 3.46 0.39 9.9 1
6 0.34 0.66 15.9 0.046 26 164 0.9979 3.14 0.5 8.8 2
5.2 0.28 0.29 1.1 0.028 18 69 0.99168 3.24 0.54 10 2
8.9 0.21 0.34 7.1 0.037 33 150 0.9962 3.1 0.45 9.7 2
7.6 0.24 0.44 3.8 0.037 49 146 0.9911 3.06 0.37 11.6 2
6.8 0.19 0.71 17.5 0.042 21 114 0.99784 2.85 0.5 9.5 2
8 0.32 0.26 1.2 0.05 11.5 88 0.9946 3.24 0.37 9.5 1
7 0.15 0.38 15.3 0.045 54 120 0.9975 3.18 0.42 9.8 2
8.1 0.33 0.22 5.2 0.047 24 151 0.99527 3.22 0.47 10.3 1
7.1 0.32 0.24 13.1 0.05 52 204 0.998 3.1 0.49 8.8 1
6.8 0.34 0.44 6.6 0.052 28 156 0.9955 3.14 0.41 9.6 1
7 0.16 0.3 2.6 0.043 34 90 0.99047 2.88 0.47 11.2 2
7 0.21 0.22 5.1 0.048 38 168 0.9945 3.34 0.49 10.4 2
6.1 0.36 0.26 8.15 0.035 14 88 0.99031 3.06 0.27 13 3
5.1 0.305 0.13 1.75 0.036 17 73 0.99 3.4 0.51 12.33333333 1
6.1 0.15 0.29 6.2 0.046 39 151 0.99471 3.6 0.44 10.6 2
7.8 0.3 0.29 16.85 0.054 23 135 0.9998 3.16 0.38 9 2
6.4 0.3 0.36 2 0.052 18 141 0.99273 3.38 0.53 10.5 2
5.6 0.42 0.34 2.4 0.022 34 97 0.98915 3.22 0.38 12.8 3
6.8 0.19 0.23 5.1 0.034 71 204 0.9942 3.23 0.69 10.1 1
9.4 0.26 0.53 1.2 0.047 25 109 0.9921 3.23 0.28 12.5 2
6.3 0.2 0.24 1.7 0.052 36 135 0.99374 3.8 0.66 10.8 2
5.8 0.15 0.32 1.2 0.037 14 119 0.99137 3.19 0.5 10.2 2
7.3 0.25 0.42 14.2 0.041 57 182 0.9996 3.29 0.75 9.1 3
6.1 0.32 0.24 1.5 0.036 38 124 0.9898 3.29 0.42 12.4 3
6.6 0.39 0.38 9.7 0.053 49 226 0.99787 3.3 0.57 9.4 2
5.4 0.53 0.16 2.7 0.036 34 128 0.98856 3.2 0.53 13.2 3
6.5 0.29 0.31 1.7 0.035 24 79 0.99053 3.27 0.69 11.4 3
6.2 0.37 0.24 6.1 0.032 19 86 0.98934 3.04 0.26 13.4 3
6.8 0.27 0.12 1.3 0.04 87 168 0.992 3.18 0.41 10 1
7 0.3 0.51 13.6 0.05 40 168 0.9976 3.07 0.52 9.6 3
7.9 0.26 0.41 15.15 0.04 38 216 0.9976 2.96 0.6 10 2
6 0.555 0.26 4.5 0.053 17 126 0.9943 3.24 0.46 9.1 1
7.3 0.26 0.53 12.7 0.047 60.5 164.5 0.9984 3.06 0.45 9.1 2
7.7 0.28 0.24 2.4 0.044 29 157 0.99312 3.27 0.56 10.6 2
9.2 0.25 0.34 1.2 0.026 31 93 0.9916 2.93 0.37 11.3 3
7.3 0.26 0.53 12.7 0.047 60.5 156 0.9984 3.06 0.45 9.1 2
5.6 0.18 0.58 1.25 0.034 29 129 0.98984 3.51 0.6 12 3
7.4 0.41 0.34 4.7 0.042 19 127 0.9953 3.25 0.42 10.4 1
7 0.29 0.49 3.8 0.047 37 136 0.9938 2.95 0.4 9.4 2
7.4 0.3 0.3 5.2 0.053 45 163 0.9941 3.12 0.45 10.3 2
6.7 0.26 0.39 1.1 0.04 45 147 0.9935 3.32 0.58 9.6 3
7.4 0.4 0.29 5.4 0.044 31 122 0.994 3.3 0.5 11.1 3
5.7 0.32 0.38 4.75 0.033 23 94 0.991 3.42 0.42 11.8 3
8.5 0.25 0.27 4.7 0.031 31 92 0.9922 3.01 0.33 12 2
6.4 0.18 0.48 18 0.054 56 183 1.00038 2.98 0.61 8.5 2
7.7 0.26 0.32 1.2 0.04 26 117 0.993 3.21 0.56 10.8 1
8.3 0.21 0.58 17.1 0.049 62 213 1.0006 3.01 0.51 9.3 2
5.7 0.21 0.25 1.1 0.035 26 81 0.9902 3.31 0.52 11.4 2
6.5 0.48 0.02 0.9 0.043 32 99 0.99226 3.14 0.47 9.8 1
7 0.18 0.26 1.4 0.044 46 89 0.99256 3.39 0.48 10.7 3
7 0.23 0.36 13 0.051 72 177 0.9972 3.16 0.49 9.8 1
6.3 0.2 0.26 4.7 0.04 108 168 0.99278 3.07 0.75 10.7 3
6.6 0.25 0.41 7.4 0.043 29 151 0.9946 3.15 0.6 10.2 3
6.4 0.16 0.42 1 0.036 29 113 0.9908 3.18 0.52 11 2
7.7 0.26 0.51 2.6 0.045 26 159 0.99126 3 0.5 11.2 2
5.9 0.44 0.33 1.2 0.049 12 117 0.99134 3.46 0.44 11.5 1
7.3 0.25 0.41 1.8 0.037 52 165 0.9911 3.29 0.39 12.2 3
6.8 0.25 0.3 11.8 0.043 53 133 0.99524 3.03 0.58 10.4 2
8.1 0.28 0.39 1.9 0.029 18 79 0.9923 3.23 0.52 11.8 2
6.3 0.24 0.37 1.8 0.031 6 61 0.9897 3.3 0.34 12.2 1
6.6 0.25 0.35 14 0.069 42 163 0.999 3.56 0.47 9.8 1
7.4 0.28 0.5 12.1 0.049 48 122 0.9973 3.01 0.44 9 1
8.3 0.16 0.48 1.7 0.057 31 98 0.9943 3.15 0.41 10.3 2
6.4 0.28 0.19 5.4 0.042 67 181 0.99435 3.31 0.35 10.2 2
5.8 0.27 0.2 7.3 0.04 42 145 0.99442 3.15 0.48 9.8 1
5.7 0.36 0.34 4.2 0.026 21 77 0.9907 3.41 0.45 11.9 2
7.1 0.23 0.39 13.7 0.058 26 172 0.99755 2.9 0.46 9 2
5.6 0.26 0 10.2 0.038 13 111 0.99315 3.44 0.46 12.4 2
8.5 0.17 0.31 1 0.024 13 91 0.993 2.79 0.37 10.1 1
6.1 0.22 0.49 1.5 0.051 18 87 0.9928 3.3 0.46 9.6 1
6.5 0.26 0.32 16.5 0.045 44 166 1 3.38 0.46 9.5 2
6.1 0.34 0.24 18.35 0.05 33 184 0.99943 3.12 0.61 9.3 1
7.6 0.23 0.64 12.9 0.033 54 170 0.998 3 0.53 8.8 1
6.3 0.26 0.25 5.2 0.046 11 133 0.99202 2.97 0.68 11 2
4.9 0.235 0.27 11.75 0.03 34 118 0.9954 3.07 0.5 9.4 2
6.4 0.35 0.2 5.7 0.034 18 117 0.9944 3.33 0.43 10.1 1
6 0.615 0.04 0.8 0.032 8 50 0.99036 3.14 0.4 11 1
6.7 0.31 0.42 6.4 0.057 25 148 0.9955 3.16 0.45 9.6 1
5.8 0.36 0.5 1 0.127 63 178 0.99212 3.1 0.45 9.7 1
6.6 0.17 0.38 1.5 0.032 28 112 0.9914 3.25 0.55 11.4 3
6.2 0.36 0.26 13.2 0.051 54 201 0.9976 3.25 0.46 9 1
6.5 0.18 0.26 1.4 0.041 40 141 0.9941 3.34 0.72 9.5 2
6.4 0.27 0.45 8.3 0.05 52 196 0.9955 3.18 0.48 9.5 1
6.8 0.26 0.44 8.2 0.046 52 183 0.99584 3.2 0.51 9.4 1
7 0.19 0.23 5.7 0.123 27 104 0.9954 3.04 0.54 9.4 2
7.1 0.43 0.61 11.8 0.045 54 155 0.9974 3.11 0.45 8.7 1
6.6 0.17 0.3 1.1 0.031 13 73 0.99095 3.17 0.58 11 2
8.5 0.18 0.3 1.1 0.028 34 95 0.99272 2.83 0.36 10 1
6.4 0.37 0.2 5.6 0.117 61 183 0.99459 3.24 0.43 9.5 1
7.8 0.29 0.29 3.15 0.044 41 117 0.99153 3.24 0.35 11.5 1
8.3 0.28 0.45 7.8 0.059 32 139 0.9972 3.33 0.77 11.2 2
6.6 0.31 0.38 16.05 0.058 16 165 0.9997 3.38 0.6 9.2 1
7.4 0.2 0.37 1.2 0.028 28 89 0.99132 3.14 0.61 11.8 2
6.4 0.35 0.21 2.1 0.051 46 171 0.9932 3.16 0.5 9.5 1
6 0.2 0.33 1.1 0.039 45 126 0.99051 3.31 0.45 11.6 3
6.5 0.26 0.39 1.4 0.02 12 66 0.99089 3.25 0.75 11.3 3
6.7 0.26 0.3 1.8 0.043 25 121 0.9944 3.44 0.61 10.2 2
6.6 0.34 0.18 6.4 0.082 47 240 0.9971 3.42 0.48 9.2 1
7.5 0.4 1 19.5 0.041 33 148 0.9977 3.24 0.38 12 2
6.6 0.22 0.37 1.2 0.059 45 199 0.993 3.37 0.55 10.3 3
6.6 0.16 0.32 1.4 0.035 49 186 0.9906 3.35 0.64 12.4 3
7.4 0.27 0.48 1.1 0.047 17 132 0.9914 3.19 0.49 11.6 2
6.6 0.28 0.23 10.4 0.049 45 190 0.99754 3.12 0.51 8.8 1
6.9 0.48 0.36 3.5 0.03 31 135 0.9904 3.14 0.38 12.2 3
7.4 0.28 0.42 19.8 0.066 53 195 1 2.96 0.44 9.1 1
5.9 0.14 0.2 1.6 0.04 26 114 0.99105 3.25 0.45 11.4 2
6.7 0.48 0.32 1.4 0.021 22 121 0.9889 3.15 0.53 12.7 3
5.8 0.2 0.3 1.5 0.031 21 57 0.99115 3.44 0.55 11 2
6.5 0.22 0.34 12 0.053 55 177 0.9983 3.52 0.44 9.9 2
6.4 0.15 0.31 1.1 0.044 25 96 0.9932 3.54 0.51 10.3 2
8.2 0.23 0.49 0.9 0.057 15 73 0.9928 3.07 0.38 10.4 2
7.5 0.3 0.32 1.4 0.032 31 161 0.99154 2.95 0.42 10.5 1
7.5 0.42 0.34 4.3 0.04 34 108 0.99155 3.14 0.45 12.8 3
6.1 0.28 0.16 1.3 0.06 36 126 0.99353 3.13 0.46 8.7 2
5.3 0.16 0.39 1 0.028 40 101 0.99156 3.57 0.59 10.6 2
6.6 0.16 0.35 1.8 0.042 26 105 0.98962 3.19 0.75 12.4 3
6 0.27 0.27 1.6 0.046 32 113 0.9924 3.41 0.51 10.5 3
7.1 0.22 0.32 16.9 0.056 49 158 0.9998 3.37 0.38 9.6 2
7.1 0.23 0.24 5.4 0.039 60 196 0.9948 3.19 0.78 10 1
6.9 0.15 0.28 4.4 0.029 14 107 0.99347 3.24 0.46 10.4 3
7.1 0.31 0.17 1 0.042 21 144 0.99304 3.13 0.4 9.6 1
6.8 0.32 0.32 8.7 0.029 31 105 0.99146 3 0.34 12.3 3
5.1 0.39 0.21 1.7 0.027 15 72 0.9894 3.5 0.45 12.5 2
5.7 0.4 0.35 5.1 0.026 17 113 0.99052 3.18 0.67 12.4 2
5.3 0.4 0.25 3.9 0.031 45 130 0.99072 3.31 0.58 11.75 3
6.7 0.4 0.22 8.8 0.052 24 113 0.99576 3.22 0.45 9.4 1
6 0.33 0.38 9.7 0.04 29 124 0.9954 3.47 0.48 11 2
7.3 0.28 0.54 12.9 0.049 62 162.5 0.9984 3.06 0.45 9.1 2
7 0.44 0.24 12.1 0.056 68 210 0.99718 3.05 0.5 9.5 1
6.8 0.26 0.24 7.8 0.052 54 214 0.9961 3.13 0.47 8.9 1
6.7 0.12 0.36 2.3 0.039 43 125 0.99229 3.07 0.67 10.1 3
9.2 0.14 0.37 1.1 0.034 36 84 0.99136 3.05 0.55 11.6 2
6.5 0.27 0.19 4.2 0.046 6 114 0.9955 3.25 0.35 8.6 1
6.6 0.27 0.25 1.2 0.033 36 111 0.98918 3.16 0.37 12.4 2
6.8 0.25 0.24 1.6 0.045 39 164 0.99402 3.53 0.58 10.8 1
6.7 0.17 0.27 1.4 0.032 39 149 0.99254 3.4 0.52 10.5 1
6.2 0.21 0.24 1.2 0.051 31 95 0.99036 3.24 0.57 11.3 2
7 0.11 0.32 4.6 0.057 59 144 0.9956 3.55 0.44 9.4 3
6.6 0.18 0.28 1.7 0.041 53 161 0.99207 3.13 0.45 10.2 2
6.6 0.22 0.34 11.6 0.05 59 140 0.99526 3.22 0.4 10.8 1
